41;SANTA MARIA;RIO GRANDE DO SUL;-29.6855818035457;-53.8086753946629;SANTA MARIA;RIO GRANDE DO SUL
42;SÃO MARTINHO DA SERRA;RIO GRANDE DO SUL;-29.5348505683156;-53.8542256318643;SAO MARTINHO DA SERRA;RIO GRANDE DO SUL
43;ITAARA;RIO GRANDE DO SUL;-29.6028879547439;-53.7578492490045;ITAARA;RIO GRANDE DO SUL
44;TOROPI;RIO GRANDE DO SUL;-29.4721417007548;-54.2280109967382;TOROPI;RIO GRANDE DO SUL
45;JARI;RIO GRANDE DO SUL;-29.2900810968405;-54.219935820282;JARI;RIO GRANDE DO SUL
46;QUEVEDOS;RIO GRANDE DO SUL;-29.3519213499725;-54.0712547223508;QUEVEDOS;RIO GRANDE DO SUL
47;JÚLIO DE CASTILHOS;RIO GRANDE DO SUL;-29.2264491192748;-53.683099614611;JULIO DE CASTILHOS;RIO GRANDE DO SUL
48;TUPANCIRETÃ;RIO GRANDE DO SUL;-29.077479730048;-53.8406300553464;TUPANCIRETA;RIO GRANDE DO SUL
49;FORMIGUEIRO;RIO GRANDE DO SUL;-29.9976338154204;-53.5002944149445;FORMIGUEIRO;RIO GRANDE DO SUL
50;RESTINGA SECA;RIO GRANDE DO SUL;-29.8139485366989;-53.3705685765474;RESTINGA SECA;RIO GRANDE DO SUL
51;SILVEIRA MARTINS;RIO GRANDE DO SUL;-29.6452500585474;-53.5852374736119;SILVEIRA MARTINS;RIO GRANDE DO SUL
52;IVORÁ;RIO GRANDE DO SUL;-29.5195344843337;-53.5808856194398;IVORA;RIO GRANDE DO SUL
53;SÃO JOÃO DO POLÊSINE;RIO GRANDE DO SUL;-29.6146764163643;-53.4463504348062;SAO JOAO DO POLESINE;RIO GRANDE DO SUL
54;FAXINAL DO SOTURNO;RIO GRANDE DO SUL;-29.5743295397707;-53.4390648197058;FAXINAL DO SOTURNO;RIO GRANDE DO SUL
55;DONA FRANCISCA;RIO GRANDE DO SUL;-29.6248524913473;-53.362333180785;DONA FRANCISCA;RIO GRANDE DO SUL
56;AGUDO;RIO GRANDE DO SUL;-29.6456633632496;-53.2586916877151;AGUDO;RIO GRANDE DO SUL
57;PARAÍSO DO SUL;RIO GRANDE DO SUL;-29.7313142401478;-53.1791002389546;PARAISO DO SUL;RIO GRANDE DO SUL
58;LAGOA BONITA DO SUL;RIO GRANDE DO SUL;-29.4941314004424;-53.0169831807835;LAGOA BONITA DO SUL;RIO GRANDE DO SUL
59;NOVA PALMA;RIO GRANDE DO SUL;-29.4730257379506;-53.4706351108828;NOVA PALMA;RIO GRANDE DO SUL
60;PINHAL GRANDE;RIO GRANDE DO SUL;-29.3353601289161;-53.3386383371448;PINHAL GRANDE;RIO GRANDE DO SUL
61;IBARAMA;RIO GRANDE DO SUL;-29.4207443610837;-53.1332000129437;IBARAMA;RIO GRANDE DO SUL
62;ESTRELA VELHA;RIO GRANDE DO SUL;-29.1796613617013;-53.1602937786865;ESTRELA VELHA;RIO GRANDE DO SUL
63;ARROIO DO TIGRE;RIO GRANDE DO SUL;-29.3358596133036;-53.0863955671765;ARROIO DO TIGRE;RIO GRANDE DO SUL
64;SOBRADINHO;RIO GRANDE DO SUL;-29.4147731341294;-53.0251679436161;SOBRADINHO;RIO GRANDE DO SUL
