CERRO DO MARTINS,RIO GRANDE DO SUL,-30.9010965239035,-53.4454484531367
SANTA BÁRBARA,RIO GRANDE DO SUL,-30.473628184466,-53.6075611079226
BOM JARDIM,RIO GRANDE DO SUL,-30.46009312651,-53.4033627437685
FORNINHO,RIO GRANDE DO SUL,-30.3669401975013,-53.4013081621861
BARRO VERMELHO,RIO GRANDE DO SUL,-30.1410656273629,-53.1587786877
GUASSUPI,RIO GRANDE DO SUL,-29.5041087955468,-54.1893204556796
CERRO CLARO,RIO GRANDE DO SUL,-29.5406325430096,-54.1447539313385
SANTA FLORA,RIO GRANDE DO SUL,-29.8836739205,-53.8807286763197
VILA BLOCK,RIO GRANDE DO SUL,-29.9949081736007,-53.6836008762334
PASSO DO VERDE,RIO GRANDE DO SUL,-29.9257098324223,-53.724947240717
SÃO VALENTIM,RIO GRANDE DO SUL,-29.7511876309273,-53.8958242523237
BOCA DO MONTE,RIO GRANDE DO SUL,-29.6459770818209,-53.9242104561303
SANTO ANTÃO,RIO GRANDE DO SUL,-29.6576818106898,-53.8487571934716
PAINS,RIO GRANDE DO SUL,-29.7506232635539,-53.704668960332
PALMA,RIO GRANDE DO SUL,-29.7153508257771,-53.6317491218228
ARROIO GRANDE,RIO GRANDE DO SUL,-29.6697006528542,-53.6633298475823
TRÊS MÁRTIRES,RIO GRANDE DO SUL,-29.5833269208279,-53.6187004818416
ARROIO DO SOL,RIO GRANDE DO SUL,-29.7920930008208,-53.5660808808309
JAZIDAS,RIO GRANDE DO SUL,-30.0822241275447,-53.306077123173
RECANTO MAESTRO,RIO GRANDE DO SUL,-29.6942496615196,-53.5175376270538
VALE VÊNETO,RIO GRANDE DO SUL,-29.653379417656,-53.5249824718817
FERREIRA,RIO GRANDE DO SUL,-30.0002600245542,-52.9834997068468
TRÊS VENDAS,RIO GRANDE DO SUL,-29.8933658816143,-53.0034054816634
SÃO JOÃO DOS MELLOS,RIO GRANDE DO SUL,-29.4340650403006,-53.534651783786
VILA CRUZ,RIO GRANDE DO SUL,-29.4758634300258,-53.4043225650009
CANHEMBORÁ,RIO GRANDE DO SUL,-29.471893414181,-53.299630643316
RINCÃO DO APPEL,RIO GRANDE DO SUL,-29.2512287862584,-53.3011856136265
RINCÃO DO IVAÍ,RIO GRANDE DO SUL,-29.1041540975461,-53.3756471377968
CAPÃO BONITO,RIO GRANDE DO SUL,-29.0708483819572,-53.3369082741064
TAQUARAL,RIO GRANDE DO SUL,-29.3346462064943,-53.1443759287464
ITAÚBA,RIO GRANDE DO SUL,-29.2912483806479,-53.1922531930762
SÃO LUIZ,RIO GRANDE DO SUL,-29.2598572172523,-53.1643361430851
RINCÃO DA ESTRELA,RIO GRANDE DO SUL,-29.213788702806,-53.1865545256642
LINHA OCIDENTAL,RIO GRANDE DO SUL,-29.279406536064,-53.1087341964732
VILA PROGRESSO,RIO GRANDE DO SUL,-29.2604083670992,-53.0543696781603
TAMANDUÁ,RIO GRANDE DO SUL,-29.2699186106061,-53.0130633635709
SÍTIO ALTO,RIO GRANDE DO SUL,-29.1903477021314,-53.023948152958
TABOÃOZINHO,RIO GRANDE DO SUL,-29.2379339592038,-52.9919414180948
PASSO REAL,RIO GRANDE DO SUL,-29.0450017647701,-53.1653411551753
FAZENDA COLORADO,RIO GRANDE DO SUL,-28.9063925666129,-53.283931137268
JÚLIO BORGES,RIO GRANDE DO SUL,-29.152290919036,-53.0827623571559
TABAJARA,RIO GRANDE DO SUL,-29.1508722732178,-53.0650455467467
MUNDO NOVO,RIO GRANDE DO SUL,-28.8937029183489,-53.0639958438238
RINCÃO DOS TOLEDOS,RIO GRANDE DO SUL,-28.9268341798864,-53.0388112903068
VARAME,RIO GRANDE DO SUL,-28.8932275754692,-52.9733947439864
NHÚ-PORÃ,RIO GRANDE DO SUL,-28.7870842548572,-55.7693385494651
SARANDI,RIO GRANDE DO SUL,-28.416326997724,-55.8333239207143
SAMBURÁ,RIO GRANDE DO SUL,-28.4064567405734,-55.5920147717995
SÃO JOSÉ,RIO GRANDE DO SUL,-28.5827408145178,-55.5036554541325
ESQUINA PIRATINI,RIO GRANDE DO SUL,-28.4788222478313,-55.1346881938639
TIMBAÚVA,RIO GRANDE DO SUL,-28.5498270015269,-55.1249876005859
RINCÃO DE SÃO PEDRO,RIO GRANDE DO SUL,-28.3883317813551,-55.1064673260422
IVAÍ,RIO GRANDE DO SUL,-28.4946288323784,-55.0438581714016
SANTO ISIDRO,RIO GRANDE DO SUL,-28.0671672541289,-55.4092905651877
FIGUEIRA,RIO GRANDE DO SUL,-28.0042943137294,-55.3396898513002
RINCÃO VERMELHO,RIO GRANDE DO SUL,-27.9529398854807,-55.2768968520854
RINCÃO COMPRIDO,RIO GRANDE DO SUL,-27.947550604608,-55.2313780872424
AFONSO RODRIGUES,RIO GRANDE DO SUL,-28.184449015109,-54.9889172362537
PASSO DO QUARESMA,RIO GRANDE DO SUL,-28.2034977625433,-54.9163337646801
PINHEIRO MACHADO,RIO GRANDE DO SUL,-28.0001218189862,-54.9979822395905
DONA OTÍLIA,RIO GRANDE DO SUL,-28.1042882281015,-54.9385922129284
MATO GRANDE,RIO GRANDE DO SUL,-28.586439741751,-54.6182075198499
CAMPESTRE,RIO GRANDE DO SUL,-28.6225806369789,-54.5787330918628
CAPELA SÃO PAULO,RIO GRANDE DO SUL,-28.3781002674324,-54.8160563720999
SERRINHA DO ROSÁRIO,RIO GRANDE DO SUL,-28.3410827696501,-54.8378233524292
